N,M,Max Precision (bits),Min Precision (bits),Network,Layer,Cycles,Memory wait cycles,WBUF Read,WBUF Write,OBUF Read,OBUF Write,IBUF Read,IBUF Write,DRAM Read,DRAM Write,Bandwidth (bits/cycle),WBUF Size (bits),OBUF Size (bits),IBUF Size (bits),Batch size
16,32,8,2,FC_test,fc1/MatMul,15730,15602,49152,524288,262144,262144,98304,24,655384,131072,50,65536,16384,32768,1
16,32,8,2,FC_test,fc2/MatMul,1347748,1339556,67108864,67108864,4325376,4325376,67108864,16384,67256320,131072,50,65536,16384,32768,1
16,32,8,2,FC_test,fc3/MatMul,657327,649135,32768000,32768000,4128768,4128768,32768000,32768,32833536,32768,50,65536,16384,32768,1
16,32,8,2,vit,conv0/Convolution,816908,591116,924844032,4718592,28901376,28901376,924844032,7225344,26394624,14450688,50,65536,16384,32768,1
16,32,8,2,vit,fc1/MatMul,2461779,1780947,2788687872,14155776,87146496,87146496,2788687872,21786624,79515648,43573248,50,65536,16384,32768,1
16,32,8,2,vit,fc2/MatMul,386090,329354,464781312,2359296,9682944,9682944,464781312,7262208,14462976,4841472,50,65536,16384,32768,1
16,32,8,2,vit,fc3/MatMul,3282371,2374595,3718250496,18874368,116195328,116195328,3718250496,29048832,106020864,58097664,50,65536,16384,32768,1
16,32,8,2,vit,fc4/MatMul,2701395,1793619,3718250496,18874368,58097664,58097664,3718250496,58097664,106020864,29048832,50,65536,16384,32768,1
16,32,8,2,vit,fc5/MatMul,2461779,1780947,2788687872,14155776,87146496,87146496,2788687872,21786624,79515648,43573248,50,65536,16384,32768,1
16,32,8,2,vit,fc6/MatMul,820593,593649,929562624,4718592,29048832,29048832,929562624,7262208,26505216,14524416,50,65536,16384,32768,1
16,32,8,2,vit,fc7/MatMul,3282371,2374595,3718250496,18874368,116195328,116195328,3718250496,29048832,106020864,58097664,50,65536,16384,32768,1
16,32,8,2,vit,fc8/MatMul,2701395,1793619,3718250496,18874368,58097664,58097664,3718250496,58097664,106020864,29048832,50,65536,16384,32768,1
16,32,8,2,vit,fc9/MatMul,2461779,1780947,2788687872,14155776,87146496,87146496,2788687872,21786624,79515648,43573248,50,65536,16384,32768,1
16,32,8,2,vit,fc10/MatMul,820593,593649,929562624,4718592,29048832,29048832,929562624,7262208,26505216,14524416,50,65536,16384,32768,1
16,32,8,2,vit,fc11/MatMul,3282371,2374595,3718250496,18874368,116195328,116195328,3718250496,29048832,106020864,58097664,50,65536,16384,32768,1
16,32,8,2,vit,fc12/MatMul,2701395,1793619,3718250496,18874368,58097664,58097664,3718250496,58097664,106020864,29048832,50,65536,16384,32768,1
16,32,8,2,vit,fc13/MatMul,2461779,1780947,2788687872,14155776,87146496,87146496,2788687872,21786624,79515648,43573248,50,65536,16384,32768,1
16,32,8,2,vit,fc14/MatMul,820593,593649,929562624,4718592,29048832,29048832,929562624,7262208,26505216,14524416,50,65536,16384,32768,1
16,32,8,2,vit,fc15/MatMul,3282371,2374595,3718250496,18874368,116195328,116195328,3718250496,29048832,106020864,58097664,50,65536,16384,32768,1
16,32,8,2,vit,fc16/MatMul,2701395,1793619,3718250496,18874368,58097664,58097664,3718250496,58097664,106020864,29048832,50,65536,16384,32768,1
16,32,8,2,vit,fc17/MatMul,2461779,1780947,2788687872,14155776,87146496,87146496,2788687872,21786624,79515648,43573248,50,65536,16384,32768,1
16,32,8,2,vit,fc18/MatMul,820593,593649,929562624,4718592,29048832,29048832,929562624,7262208,26505216,14524416,50,65536,16384,32768,1
16,32,8,2,vit,fc19/MatMul,3282371,2374595,3718250496,18874368,116195328,116195328,3718250496,29048832,106020864,58097664,50,65536,16384,32768,1
16,32,8,2,vit,fc20/MatMul,2701395,1793619,3718250496,18874368,58097664,58097664,3718250496,58097664,106020864,29048832,50,65536,16384,32768,1
16,32,8,2,vit,fc21/MatMul,2461779,1780947,2788687872,14155776,87146496,87146496,2788687872,21786624,79515648,43573248,50,65536,16384,32768,1
16,32,8,2,vit,fc22/MatMul,386090,329354,464781312,2359296,9682944,9682944,464781312,7262208,14462976,4841472,50,65536,16384,32768,1
16,32,8,2,vit,fc23/MatMul,3282371,2374595,3718250496,18874368,116195328,116195328,3718250496,29048832,106020864,58097664,50,65536,16384,32768,1
16,32,8,2,vit,fc24/MatMul,2701395,1793619,3718250496,18874368,58097664,58097664,3718250496,58097664,106020864,29048832,50,65536,16384,32768,1
16,32,8,2,vit,fc25/MatMul,2461779,1780947,2788687872,14155776,87146496,87146496,2788687872,21786624,79515648,43573248,50,65536,16384,32768,1
16,32,8,2,vit,fc26/MatMul,820593,593649,929562624,4718592,29048832,29048832,929562624,7262208,26505216,14524416,50,65536,16384,32768,1
16,32,8,2,vit,fc27/MatMul,3282371,2374595,3718250496,18874368,116195328,116195328,3718250496,29048832,106020864,58097664,50,65536,16384,32768,1
16,32,8,2,vit,fc28/MatMul,2701395,1793619,3718250496,18874368,58097664,58097664,3718250496,58097664,106020864,29048832,50,65536,16384,32768,1
16,32,8,2,vit,fc29/MatMul,2461779,1780947,2788687872,14155776,87146496,87146496,2788687872,21786624,79515648,43573248,50,65536,16384,32768,1
16,32,8,2,vit,fc30/MatMul,386090,329354,464781312,2359296,9682944,9682944,464781312,7262208,14462976,4841472,50,65536,16384,32768,1
16,32,8,2,vit,fc31/MatMul,3282371,2374595,3718250496,18874368,116195328,116195328,3718250496,29048832,106020864,58097664,50,65536,16384,32768,1
16,32,8,2,vit,fc32/MatMul,2701395,1793619,3718250496,18874368,58097664,58097664,3718250496,58097664,106020864,29048832,50,65536,16384,32768,1
16,32,8,2,vit,fc33/MatMul,2461779,1780947,2788687872,14155776,87146496,87146496,2788687872,21786624,79515648,43573248,50,65536,16384,32768,1
16,32,8,2,vit,fc34/MatMul,386090,329354,464781312,2359296,9682944,9682944,464781312,7262208,14462976,4841472,50,65536,16384,32768,1
16,32,8,2,vit,fc35/MatMul,3282371,2374595,3718250496,18874368,116195328,116195328,3718250496,29048832,106020864,58097664,50,65536,16384,32768,1
16,32,8,2,vit,fc36/MatMul,2701395,1793619,3718250496,18874368,58097664,58097664,3718250496,58097664,106020864,29048832,50,65536,16384,32768,1
16,32,8,2,vit,fc37/MatMul,2461779,1780947,2788687872,14155776,87146496,87146496,2788687872,21786624,79515648,43573248,50,65536,16384,32768,1
16,32,8,2,vit,fc38/MatMul,386090,329354,464781312,2359296,9682944,9682944,464781312,7262208,14462976,4841472,50,65536,16384,32768,1
16,32,8,2,vit,fc39/MatMul,3282371,2374595,3718250496,18874368,116195328,116195328,3718250496,29048832,106020864,58097664,50,65536,16384,32768,1
16,32,8,2,vit,fc40/MatMul,2701395,1793619,3718250496,18874368,58097664,58097664,3718250496,58097664,106020864,29048832,50,65536,16384,32768,1
16,32,8,2,vit,fc41/MatMul,2461779,1780947,2788687872,14155776,87146496,87146496,2788687872,21786624,79515648,43573248,50,65536,16384,32768,1
16,32,8,2,vit,fc42/MatMul,386090,329354,464781312,2359296,9682944,9682944,464781312,7262208,14462976,4841472,50,65536,16384,32768,1
16,32,8,2,vit,fc43/MatMul,3282371,2374595,3718250496,18874368,116195328,116195328,3718250496,29048832,106020864,58097664,50,65536,16384,32768,1
16,32,8,2,vit,fc44/MatMul,2701395,1793619,3718250496,18874368,58097664,58097664,3718250496,58097664,106020864,29048832,50,65536,16384,32768,1
16,32,8,2,vit,fc45/MatMul,2461779,1780947,2788687872,14155776,87146496,87146496,2788687872,21786624,79515648,43573248,50,65536,16384,32768,1
16,32,8,2,vit,fc46/MatMul,820593,593649,929562624,4718592,29048832,29048832,929562624,7262208,26505216,14524416,50,65536,16384,32768,1
16,32,8,2,vit,fc47/MatMul,3282371,2374595,3718250496,18874368,116195328,116195328,3718250496,29048832,106020864,58097664,50,65536,16384,32768,1
16,32,8,2,vit,fc48/MatMul,2701395,1793619,3718250496,18874368,58097664,58097664,3718250496,58097664,106020864,29048832,50,65536,16384,32768,1
16,32,8,2,vit,fc49/MatMul,124315,122779,6144000,6144000,800768,800768,6144000,6144,6182912,32768,50,65536,16384,32768,1
16,32,8,2,rte,fc0/MatMul,566232,418776,603979776,4718592,18874368,18874368,603979776,4718592,18874368,9437184,50,65536,16384,32768,1
16,32,8,2,rte,fc1/MatMul,566232,418776,603979776,4718592,18874368,18874368,603979776,4718592,18874368,9437184,50,65536,16384,32768,1
16,32,8,2,rte,fc2/MatMul,566232,418776,603979776,4718592,18874368,18874368,603979776,4718592,18874368,9437184,50,65536,16384,32768,1
16,32,8,2,rte,fc3/MatMul,267387,230523,301989888,2359296,6291456,6291456,301989888,4718592,10223616,3145728,50,65536,16384,32768,1
16,32,8,2,rte,fc4/MatMul,2264925,1675101,2415919104,18874368,75497472,75497472,2415919104,18874368,75497472,37748736,50,65536,16384,32768,1
16,32,8,2,rte,fc5/MatMul,1887438,1297614,2415919104,18874368,37748736,37748736,2415919104,37748736,75497472,18874368,50,65536,16384,32768,1
16,32,8,2,rte,fc6/MatMul,566232,418776,603979776,4718592,18874368,18874368,603979776,4718592,18874368,9437184,50,65536,16384,32768,1
16,32,8,2,rte,fc7/MatMul,566232,418776,603979776,4718592,18874368,18874368,603979776,4718592,18874368,9437184,50,65536,16384,32768,1
16,32,8,2,rte,fc8/MatMul,566232,418776,603979776,4718592,18874368,18874368,603979776,4718592,18874368,9437184,50,65536,16384,32768,1
16,32,8,2,rte,fc9/MatMul,566232,418776,603979776,4718592,18874368,18874368,603979776,4718592,18874368,9437184,50,65536,16384,32768,1
16,32,8,2,rte,fc10/MatMul,2264925,1675101,2415919104,18874368,75497472,75497472,2415919104,18874368,75497472,37748736,50,65536,16384,32768,1
16,32,8,2,rte,fc11/MatMul,1887438,1297614,2415919104,18874368,37748736,37748736,2415919104,37748736,75497472,18874368,50,65536,16384,32768,1
16,32,8,2,rte,fc12/MatMul,566232,418776,603979776,4718592,18874368,18874368,603979776,4718592,18874368,9437184,50,65536,16384,32768,1
16,32,8,2,rte,fc13/MatMul,566232,418776,603979776,4718592,18874368,18874368,603979776,4718592,18874368,9437184,50,65536,16384,32768,1
16,32,8,2,rte,fc14/MatMul,566232,418776,603979776,4718592,18874368,18874368,603979776,4718592,18874368,9437184,50,65536,16384,32768,1
16,32,8,2,rte,fc15/MatMul,566232,418776,603979776,4718592,18874368,18874368,603979776,4718592,18874368,9437184,50,65536,16384,32768,1
16,32,8,2,rte,fc16/MatMul,2264925,1675101,2415919104,18874368,75497472,75497472,2415919104,18874368,75497472,37748736,50,65536,16384,32768,1
16,32,8,2,rte,fc17/MatMul,1887438,1297614,2415919104,18874368,37748736,37748736,2415919104,37748736,75497472,18874368,50,65536,16384,32768,1
16,32,8,2,rte,fc18/MatMul,566232,418776,603979776,4718592,18874368,18874368,603979776,4718592,18874368,9437184,50,65536,16384,32768,1
16,32,8,2,rte,fc19/MatMul,566232,418776,603979776,4718592,18874368,18874368,603979776,4718592,18874368,9437184,50,65536,16384,32768,1
16,32,8,2,rte,fc20/MatMul,566232,418776,603979776,4718592,18874368,18874368,603979776,4718592,18874368,9437184,50,65536,16384,32768,1
16,32,8,2,rte,fc21/MatMul,566232,418776,603979776,4718592,18874368,18874368,603979776,4718592,18874368,9437184,50,65536,16384,32768,1
16,32,8,2,rte,fc22/MatMul,2264925,1675101,2415919104,18874368,75497472,75497472,2415919104,18874368,75497472,37748736,50,65536,16384,32768,1
16,32,8,2,rte,fc23/MatMul,1887438,1297614,2415919104,18874368,37748736,37748736,2415919104,37748736,75497472,18874368,50,65536,16384,32768,1
16,32,8,2,rte,fc24/MatMul,566232,418776,603979776,4718592,18874368,18874368,603979776,4718592,18874368,9437184,50,65536,16384,32768,1
16,32,8,2,rte,fc25/MatMul,566232,418776,603979776,4718592,18874368,18874368,603979776,4718592,18874368,9437184,50,65536,16384,32768,1
16,32,8,2,rte,fc26/MatMul,566232,418776,603979776,4718592,18874368,18874368,603979776,4718592,18874368,9437184,50,65536,16384,32768,1
16,32,8,2,rte,fc27/MatMul,267387,230523,301989888,2359296,6291456,6291456,301989888,4718592,10223616,3145728,50,65536,16384,32768,1
16,32,8,2,rte,fc28/MatMul,2264925,1675101,2415919104,18874368,75497472,75497472,2415919104,18874368,75497472,37748736,50,65536,16384,32768,1
16,32,8,2,rte,fc29/MatMul,943719,796263,1207959552,9437184,18874368,18874368,1207959552,18874368,37748736,9437184,50,65536,16384,32768,1
16,32,8,2,rte,fc30/MatMul,566232,418776,603979776,4718592,18874368,18874368,603979776,4718592,18874368,9437184,50,65536,16384,32768,1
16,32,8,2,rte,fc31/MatMul,566232,418776,603979776,4718592,18874368,18874368,603979776,4718592,18874368,9437184,50,65536,16384,32768,1
16,32,8,2,rte,fc32/MatMul,566232,418776,603979776,4718592,18874368,18874368,603979776,4718592,18874368,9437184,50,65536,16384,32768,1
16,32,8,2,rte,fc33/MatMul,267387,230523,301989888,2359296,6291456,6291456,301989888,4718592,10223616,3145728,50,65536,16384,32768,1
16,32,8,2,rte,fc34/MatMul,2264925,1675101,2415919104,18874368,75497472,75497472,2415919104,18874368,75497472,37748736,50,65536,16384,32768,1
16,32,8,2,rte,fc35/MatMul,943719,796263,1207959552,9437184,18874368,18874368,1207959552,18874368,37748736,9437184,50,65536,16384,32768,1
16,32,8,2,rte,fc36/MatMul,566232,418776,603979776,4718592,18874368,18874368,603979776,4718592,18874368,9437184,50,65536,16384,32768,1
16,32,8,2,rte,fc37/MatMul,566232,418776,603979776,4718592,18874368,18874368,603979776,4718592,18874368,9437184,50,65536,16384,32768,1
16,32,8,2,rte,fc38/MatMul,566232,418776,603979776,4718592,18874368,18874368,603979776,4718592,18874368,9437184,50,65536,16384,32768,1
16,32,8,2,rte,fc39/MatMul,267387,230523,301989888,2359296,6291456,6291456,301989888,4718592,10223616,3145728,50,65536,16384,32768,1
16,32,8,2,rte,fc40/MatMul,2264925,1675101,2415919104,18874368,75497472,75497472,2415919104,18874368,75497472,37748736,50,65536,16384,32768,1
16,32,8,2,rte,fc41/MatMul,943719,796263,1207959552,9437184,18874368,18874368,1207959552,18874368,37748736,9437184,50,65536,16384,32768,1
16,32,8,2,rte,fc42/MatMul,566232,418776,603979776,4718592,18874368,18874368,603979776,4718592,18874368,9437184,50,65536,16384,32768,1
16,32,8,2,rte,fc43/MatMul,566232,418776,603979776,4718592,18874368,18874368,603979776,4718592,18874368,9437184,50,65536,16384,32768,1
16,32,8,2,rte,fc44/MatMul,566232,418776,603979776,4718592,18874368,18874368,603979776,4718592,18874368,9437184,50,65536,16384,32768,1
16,32,8,2,rte,fc45/MatMul,267387,230523,301989888,2359296,6291456,6291456,301989888,4718592,10223616,3145728,50,65536,16384,32768,1
16,32,8,2,rte,fc46/MatMul,2264925,1675101,2415919104,18874368,75497472,75497472,2415919104,18874368,75497472,37748736,50,65536,16384,32768,1
16,32,8,2,rte,fc47/MatMul,943719,796263,1207959552,9437184,18874368,18874368,1207959552,18874368,37748736,9437184,50,65536,16384,32768,1
16,32,8,2,rte,fc48/MatMul,566232,418776,603979776,4718592,18874368,18874368,603979776,4718592,18874368,9437184,50,65536,16384,32768,1
16,32,8,2,rte,fc49/MatMul,566232,418776,603979776,4718592,18874368,18874368,603979776,4718592,18874368,9437184,50,65536,16384,32768,1
16,32,8,2,rte,fc50/MatMul,566232,418776,603979776,4718592,18874368,18874368,603979776,4718592,18874368,9437184,50,65536,16384,32768,1
16,32,8,2,rte,fc51/MatMul,267387,230523,301989888,2359296,6291456,6291456,301989888,4718592,10223616,3145728,50,65536,16384,32768,1
16,32,8,2,rte,fc52/MatMul,2264925,1675101,2415919104,18874368,75497472,75497472,2415919104,18874368,75497472,37748736,50,65536,16384,32768,1
16,32,8,2,rte,fc53/MatMul,1887438,1297614,2415919104,18874368,37748736,37748736,2415919104,37748736,75497472,18874368,50,65536,16384,32768,1
16,32,8,2,rte,fc54/MatMul,566232,418776,603979776,4718592,18874368,18874368,603979776,4718592,18874368,9437184,50,65536,16384,32768,1
16,32,8,2,rte,fc55/MatMul,566232,418776,603979776,4718592,18874368,18874368,603979776,4718592,18874368,9437184,50,65536,16384,32768,1
16,32,8,2,rte,fc56/MatMul,566232,418776,603979776,4718592,18874368,18874368,603979776,4718592,18874368,9437184,50,65536,16384,32768,1
16,32,8,2,rte,fc57/MatMul,566232,418776,603979776,4718592,18874368,18874368,603979776,4718592,18874368,9437184,50,65536,16384,32768,1
16,32,8,2,rte,fc58/MatMul,2264925,1675101,2415919104,18874368,75497472,75497472,2415919104,18874368,75497472,37748736,50,65536,16384,32768,1
16,32,8,2,rte,fc59/MatMul,1887438,1297614,2415919104,18874368,37748736,37748736,2415919104,37748736,75497472,18874368,50,65536,16384,32768,1
16,32,8,2,rte,fc60/MatMul,566232,418776,603979776,4718592,18874368,18874368,603979776,4718592,18874368,9437184,50,65536,16384,32768,1
16,32,8,2,rte,fc61/MatMul,566232,418776,603979776,4718592,18874368,18874368,603979776,4718592,18874368,9437184,50,65536,16384,32768,1
16,32,8,2,rte,fc62/MatMul,566232,418776,603979776,4718592,18874368,18874368,603979776,4718592,18874368,9437184,50,65536,16384,32768,1
16,32,8,2,rte,fc63/MatMul,267387,230523,301989888,2359296,6291456,6291456,301989888,4718592,10223616,3145728,50,65536,16384,32768,1
16,32,8,2,rte,fc64/MatMul,2264925,1675101,2415919104,18874368,75497472,75497472,2415919104,18874368,75497472,37748736,50,65536,16384,32768,1
16,32,8,2,rte,fc65/MatMul,1887438,1297614,2415919104,18874368,37748736,37748736,2415919104,37748736,75497472,18874368,50,65536,16384,32768,1
16,32,8,2,rte,fc66/MatMul,566232,418776,603979776,4718592,18874368,18874368,603979776,4718592,18874368,9437184,50,65536,16384,32768,1
16,32,8,2,rte,fc67/MatMul,566232,418776,603979776,4718592,18874368,18874368,603979776,4718592,18874368,9437184,50,65536,16384,32768,1
16,32,8,2,rte,fc68/MatMul,566232,418776,603979776,4718592,18874368,18874368,603979776,4718592,18874368,9437184,50,65536,16384,32768,1
16,32,8,2,rte,fc69/MatMul,267387,230523,301989888,2359296,6291456,6291456,301989888,4718592,10223616,3145728,50,65536,16384,32768,1
16,32,8,2,rte,fc70/MatMul,2264925,1675101,2415919104,18874368,75497472,75497472,2415919104,18874368,75497472,37748736,50,65536,16384,32768,1
16,32,8,2,rte,fc71/MatMul,943719,796263,1207959552,9437184,18874368,18874368,1207959552,18874368,37748736,9437184,50,65536,16384,32768,1
16,32,8,2,rte,fc72/MatMul,95479,94327,4718592,4718592,49152,49152,4718592,6144,4749312,24576,50,65536,16384,32768,1
16,32,8,2,rte,fc73/MatMul,459,411,12288,12288,1088,1088,12288,6144,19456,1024,50,65536,16384,32768,1
16,32,8,2,wnli,fc0/MatMul,566232,418776,603979776,4718592,18874368,18874368,603979776,4718592,18874368,9437184,50,65536,16384,32768,1
16,32,8,2,wnli,fc1/MatMul,566232,418776,603979776,4718592,18874368,18874368,603979776,4718592,18874368,9437184,50,65536,16384,32768,1
16,32,8,2,wnli,fc2/MatMul,566232,418776,603979776,4718592,18874368,18874368,603979776,4718592,18874368,9437184,50,65536,16384,32768,1
16,32,8,2,wnli,fc3/MatMul,267387,230523,301989888,2359296,6291456,6291456,301989888,4718592,10223616,3145728,50,65536,16384,32768,1
16,32,8,2,wnli,fc4/MatMul,2264925,1675101,2415919104,18874368,75497472,75497472,2415919104,18874368,75497472,37748736,50,65536,16384,32768,1
16,32,8,2,wnli,fc5/MatMul,943719,796263,1207959552,9437184,18874368,18874368,1207959552,18874368,37748736,9437184,50,65536,16384,32768,1
16,32,8,2,wnli,fc6/MatMul,566232,418776,603979776,4718592,18874368,18874368,603979776,4718592,18874368,9437184,50,65536,16384,32768,1
16,32,8,2,wnli,fc7/MatMul,566232,418776,603979776,4718592,18874368,18874368,603979776,4718592,18874368,9437184,50,65536,16384,32768,1
16,32,8,2,wnli,fc8/MatMul,566232,418776,603979776,4718592,18874368,18874368,603979776,4718592,18874368,9437184,50,65536,16384,32768,1
16,32,8,2,wnli,fc9/MatMul,267387,230523,301989888,2359296,6291456,6291456,301989888,4718592,10223616,3145728,50,65536,16384,32768,1
16,32,8,2,wnli,fc10/MatMul,2264925,1675101,2415919104,18874368,75497472,75497472,2415919104,18874368,75497472,37748736,50,65536,16384,32768,1
16,32,8,2,wnli,fc11/MatMul,943719,796263,1207959552,9437184,18874368,18874368,1207959552,18874368,37748736,9437184,50,65536,16384,32768,1
16,32,8,2,wnli,fc12/MatMul,566232,418776,603979776,4718592,18874368,18874368,603979776,4718592,18874368,9437184,50,65536,16384,32768,1
16,32,8,2,wnli,fc13/MatMul,566232,418776,603979776,4718592,18874368,18874368,603979776,4718592,18874368,9437184,50,65536,16384,32768,1
16,32,8,2,wnli,fc14/MatMul,566232,418776,603979776,4718592,18874368,18874368,603979776,4718592,18874368,9437184,50,65536,16384,32768,1
16,32,8,2,wnli,fc15/MatMul,267387,230523,301989888,2359296,6291456,6291456,301989888,4718592,10223616,3145728,50,65536,16384,32768,1
16,32,8,2,wnli,fc16/MatMul,2264925,1675101,2415919104,18874368,75497472,75497472,2415919104,18874368,75497472,37748736,50,65536,16384,32768,1
16,32,8,2,wnli,fc17/MatMul,1887438,1297614,2415919104,18874368,37748736,37748736,2415919104,37748736,75497472,18874368,50,65536,16384,32768,1
16,32,8,2,wnli,fc18/MatMul,566232,418776,603979776,4718592,18874368,18874368,603979776,4718592,18874368,9437184,50,65536,16384,32768,1
