N,M,Max Precision (bits),Min Precision (bits),Network,Layer,Cycles,Memory wait cycles,WBUF Read,WBUF Write,OBUF Read,OBUF Write,IBUF Read,IBUF Write,DRAM Read,DRAM Write,Bandwidth (bits/cycle),WBUF Size (bits),OBUF Size (bits),IBUF Size (bits),Batch size,avg_iprec,avg_wprec
16,32,8,2,FC_test,fc1/MatMul,4757,4629,52662.857142857145,2172873.343799058,262144,262144,37809.23076923077,9.230769230769232,2303954.574568289,131072,512,65536,16384,32768,1,3.077,4.286
16,32,8,2,FC_test,fc2/MatMul,175568,169424,83886080.0,89612918.15384614,2228224,2228224,63667383.79487179,15543.794871794871,89759533.94871794,131072,512,65536,16384,32768,1,3.795,5.0
16,32,8,2,FC_test,fc3/MatMul,38699,37291,18067771.076923076,19731222.11597633,163840,163840,16777216.0,16384.0,19780374.11597633,32768,512,65536,16384,32768,1,4.0,4.308
16,32,8,2,inceptionv3,conv0/Convolution,93436,71235,62340408.0,12191.483870967742,45467648,45467648,75489129.29032259,2359035.290322581,25105050.774193548,22733824,512,65536,16384,32768,1,3.935,3.25
16,32,8,2,inceptionv3,conv1/Convolution,132267,67440,645515970.2068965,35608.727984891935,44255232,44255232,749735695.0588236,23429240.470588237,45592465.19857313,22127616,512,65536,16384,32768,1,3.765,3.241
16,32,8,2,inceptionv3,conv2/Convolution,217914,88260,1268649984.0,82293.42450142451,88510464,88510464,1470635401.846154,22978678.153846156,67316203.57834758,44255232,512,65536,16384,32768,1,3.692,3.185
16,32,8,2,inceptionv3,conv3/Convolution,67378,51391,94084413.79310346,24340.254276045,30012928,30012928,138521206.15384614,1731515.0769230768,18126543.33119912,16370688,512,65536,16384,32768,1,5.077,3.448
16,32,8,2,inceptionv3,conv4/Convolution,212143,421,2864901119.9999995,625713.3037037037,61943808,61943808,2787471360.0,43554240.0,75151857.3037037,30971904,512,65536,16384,32768,1,4.0,4.111
16,32,8,2,inceptionv3,conv5/Convolution,12001,4651,65684945.45454545,74946.64462809917,5017600,5017600,67294870.58823529,1051482.3529411766,3635228.997569276,2508800,512,65536,16384,32768,1,4.471,4.364
16,32,8,2,inceptionv3,conv6/Convolution,11886,6986,42079418.18181818,38319.074380165286,4390400,4390400,49392000.0,1029000.0,3576119.074380165,2508800,512,65536,16384,32768,1,4.375,3.727
16,32,8,2,inceptionv3,conv7/Convolution,39677,477,384872727.27272725,334679.241614001,5017600,5017600,376320000.0,11760000.0,14603479.241614,2508800,512,65536,16384,32768,1,4.0,4.091
16,32,8,2,inceptionv3,conv8/Convolution,12042,7142,53521066.666666664,50028.51028806584,5017600,5017600,70246399.99999999,1097599.9999999998,3656428.5102880653,2508800,512,65536,16384,32768,1,4.667,3.556
16,32,8,2,inceptionv3,conv9/Convolution,28958,6908,344845963.6363636,326166.6504618376,7526400,7526400,223135623.52941176,6972988.235294117,11062354.885755954,3763200,512,65536,16384,32768,1,3.294,5.091
16,32,8,2,inceptionv3,conv10/Convolution,41045,620,457228800.0,388163.36842105264,7526400,7526400,390382484.2105263,12199452.631578946,16350816.0,3763200,512,65536,16384,32768,1,3.842,4.5
16,32,8,2,inceptionv3,conv11/Convolution,6620,4170,30105599.999999996,25196.606060606056,2508800,2508800,27368727.272727273,855272.7272727274,2134869.3333333335,1254400,512,65536,16384,32768,1,3.636,4.0
16,32,8,2,inceptionv3,conv12/Convolution,12132,4782,87715081.48148148,78234.16186556927,5017600,5017600,71361422.22222222,1115022.2222222222,3702056.3840877917,2508800,512,65536,16384,32768,1,3.556,4.37
