N,M,Max Precision (bits),Min Precision (bits),Network,Layer,Cycles,Memory wait cycles,WBUF Read,WBUF Write,OBUF Read,OBUF Write,IBUF Read,IBUF Write,DRAM Read,DRAM Write,Bandwidth (bits/cycle),WBUF Size (bits),OBUF Size (bits),IBUF Size (bits),Batch size,avg_iprec,avg_wprec
16,32,8,2,inceptionv3,conv0/Convolution,753673,398457,1202050943.9999998,13150.358974358973,727482368,727482368,1416492110.7692308,44265378.461538464,408019712.8205128,363741184,1024,65536,16384,32768,16,4.615,3.917
16,32,8,2,inceptionv3,conv1/Convolution,1383020,44,13453590528.0,41193.876543209866,708083712,708083712,14604226560.0,456382080.0,810465129.8765433,354041856,1024,65536,16384,32768,16,4.583,4.222
16,32,8,2,inceptionv3,conv2/Convolution,2766041,89,28967060945.454544,87505.45454545454,1416167424,1416167424,26128288972.8,816509030.4,1524680247.8545456,708083712,1024,65536,16384,32768,16,4.1,4.545
16,32,8,2,inceptionv3,conv3/Convolution,538257,282465,1694847698.8235295,28325.64705882354,480206848,480206848,2182758400.0,27284480.0,289243813.64705884,261931008,1024,65536,16384,32768,16,5.0,3.882
16,32,8,2,inceptionv3,conv4/Convolution,5807341,109,50174484480.0,627264.0,991100928,991100928,63182684159.99999,1974458879.9999995,2470636607.9999995,495550464,1024,65536,16384,32768,16,5.667,4.5
16,32,8,2,inceptionv3,conv5/Convolution,117680,80,874177422.2222221,58284.00109739368,80281600,80281600,1123942399.9999998,35123199.99999999,75322284.00109738,40140800,1024,65536,16384,32768,16,4.667,3.63
16,32,8,2,inceptionv3,conv6/Convolution,90823,12423,677376000.0,44640.0,70246400,70246400,608450021.0526315,12676042.105263157,52861482.10526316,40140800,1024,65536,16384,32768,16,3.368,3.75
16,32,8,2,inceptionv3,conv7/Convolution,784192,192,6743654400.000001,359096.95015384624,80281600,80281600,7642190769.230769,238818461.53846157,279318358.4886154,40140800,1024,65536,16384,32768,16,5.077,4.48
16,32,8,2,inceptionv3,conv8/Convolution,92589,14189,916764077.4193548,54936.825422236456,80281600,80281600,926326153.8461536,14473846.15384615,54669582.97926839,40140800,1024,65536,16384,32768,16,3.846,3.806
16,32,8,2,inceptionv3,conv9/Convolution,353031,231,3948134400.0,227709.6149068323,120422400,120422400,4146719165.217392,129584973.91304348,190023883.52795032,60211200,1024,65536,16384,32768,16,3.826,3.643
16,32,8,2,inceptionv3,conv10/Convolution,588105,105,5462360064.000001,283852.80000000005,120422400,120422400,8128512000.0,254016000.0,314511052.8,60211200,1024,65536,16384,32768,16,5.0,3.36
16,32,8,2,inceptionv3,conv11/Convolution,53642,14442,433520640.0,24653.508923076923,40140800,40140800,472426338.4615385,14763323.076923078,34858376.58584616,20070400,1024,65536,16384,32768,16,3.923,3.6
16,32,8,2,inceptionv3,conv12/Convolution,117697,97,1210399507.6923077,75289.44852071005,80281600,80281600,1119354880.0,34979840.0,75195929.44852072,40140800,1024,65536,16384,32768,16,3.486,3.769
16,32,8,2,inceptionv3,conv13/Convolution,117691,91,963379200.0,57422.769230769234,70246400,70246400,847109296.5517241,17648110.344827585,57846333.11405835,40140800,1024,65536,16384,32768,16,3.517,4.0
16,32,8,2,inceptionv3,conv14/Convolution,313862,262,4850346666.666667,259565.03703703705,80281600,80281600,5747432727.272727,89803636.36363634,130204001.40067336,40140800,1024,65536,16384,32768,16,3.818,3.222
16,32,8,2,inceptionv3,conv15/Convolution,156898,98,1330380799.9999998,87780.22771213746,80281600,80281600,1352111157.8947368,42253473.68421053,82482053.91192266,40140800,1024,65536,16384,32768,16,4.211,4.143
16,32,8,2,inceptionv3,conv16/Convolution,294214,214,3536615747.368421,210431.67270402724,120422400,120422400,3918359630.769231,122448738.46153846,182870370.13424248,60211200,1024,65536,16384,32768,16,3.615,3.263
16,32,8,2,inceptionv3,conv17/Convolution,352909,109,5647176757.894736,302527.3263157895,120422400,120422400,5852528639.999999,182891520.0,243405247.32631576,60211200,1024,65536,16384,32768,16,3.6,3.474
16,32,8,2,inceptionv3,conv18/Convolution,117684,84,1172809460.8695652,65040.45368620038,80281600,80281600,1320186311.111111,20627911.111111112,60833751.56479731,40140800,1024,65536,16384,32768,16,4.111,3.652
16,32,8,2,inceptionv3,conv19/Convolution,156914,114,1697955839.9999998,104043.98545454546,80281600,80281600,1313698909.0909092,41053090.90909092,81297934.89454547,40140800,1024,65536,16384,32768,16,3.636,4.7
16,32,8,2,inceptionv3,conv20/Convolution,117705,105,1161216000.0,71615.69858712716,70246400,70246400,833693538.4615386,17368615.384615384,57581031.08320251,40140800,1024,65536,16384,32768,16,3.077,4.286
16,32,8,2,inceptionv3,conv21/Convolution,470512,112,5644800000.0,299520.0,240844800,240844800,5519360000.0,172480000.0,293201920.0,120422400,1024,65536,16384,32768,16,3.667,3.75
16,32,8,2,inceptionv3,conv22/Convolution,156910,110,1909555200.0,100167.71799628942,80281600,80281600,1280856436.3636365,40026763.63636363,80267731.35435992,40140800,1024,65536,16384,32768,16,3.545,5.286
16,32,8,2,inceptionv3,conv23/Convolution,470620,220,4057308553.8461537,214944.60688818083,120422400,120422400,5835854769.23077,182370461.5384616,242796606.1453497,60211200,1024,65536,16384,32768,16,5.385,3.744
16,32,8,2,inceptionv3,conv24/Convolution,646937,137,6864076800.0,383355.25925925927,120422400,120422400,7389556363.636363,230923636.3636364,291518191.6228956,60211200,1024,65536,16384,32768,16,4.545,4.222
16,32,8,2,inceptionv3,conv25/Convolution,156907,107,1667387076.9230769,96258.73640007636,80281600,80281600,1421761238.7096777,44430038.70967742,84667097.4460775,40140800,1024,65536,16384,32768,16,3.935,4.615
16,32,8,2,inceptionv3,conv26/Convolution,1498286,110,15737227330.064514,3796781.019771071,1022754816,1022754816,17258987520.0,269671680.0,784845869.0197711,511377408,1024,65536,16384,32768,16,3.75,3.419
16,32,8,2,inceptionv3,conv27/Convolution,117702,102,1313698909.090909,83195.9313413859,80281600,80281600,1389489230.7692306,21710769.23076923,61934765.16211061,40140800,1024,65536,16384,32768,16,3.846,3.636
16,32,8,2,inceptionv3,conv28/Convolution,470631,231,4046192640.0,226317.65333333332,120422400,120422400,4835422523.076923,151106953.84615386,211544471.4994872,60211200,1024,65536,16384,32768,16,4.462,3.733
16,32,8,2,inceptionv3,conv29/Convolution,138858,138,1486190592.0,353931.4285714285,28409856,28409856,1643713097.142857,51366034.28571428,65924893.71428571,14204928,1024,65536,16384,32768,16,4.286,3.875
16,32,8,2,inceptionv3,conv30/Convolution,249835,139,3204631756.8,740689.9200000002,56819712,56819712,2215968767.9999995,69249023.99999999,98399569.92,28409856,1024,65536,16384,32768,16,3.25,4.7
16,32,8,2,inceptionv3,conv31/Convolution,129593,121,1704591360.0,417480.0,37879808,37879808,1553072128.0,48533504.0,67890888.0,18939904,1024,65536,16384,32768,16,3.417,3.75
16,32,8,2,inceptionv3,conv32/Convolution,39248,2256,329389634.7826087,111387.3075884418,37879808,37879808,281392859.4285714,2198381.714285714,21249673.02187416,18939904,1024,65536,16384,32768,16,3.714,4.348
16,32,8,2,inceptionv3,conv33/Convolution,1553771,107,19040102201.80645,4304893.442663891,454557696,454557696,19303550156.8,603235942.4000001,834819683.842664,227278848,1024,65536,16384,32768,16,3.467,3.419
16,32,8,2,inceptionv3,conv34/Convolution,148089,121,1709136936.9599998,414232.7172413793,37879808,37879808,1692835557.5172412,52901111.1724138,72255247.88965517,18939904,1024,65536,16384,32768,16,3.724,3.76
16,32,8,2,inceptionv3,conv35/Convolution,1257984,256,16785695788.521738,3709040.27221172,151519232,151519232,12665225216.000002,395788288.0,475256944.2722117,75759616,1024,65536,16384,32768,16,3.412,4.522
16,32,8,2,inceptionv3,conv36/Convolution,39184,2192,269893632.0,104599.38461538462,37879808,37879808,273900150.1538462,2139844.9230769235,21184348.307692308,18939904,1024,65536,16384,32768,16,3.615,3.562
16,32,8,2,inceptionv3,conv37/Convolution,1110004,244,15467588266.666668,3516862.7450980395,151519232,151519232,12883591168.0,402612224.0,481888702.74509805,75759616,1024,65536,16384,32768,16,3.471,4.167
16,32,8,2,inceptionv3,conv38/Convolution,57961,2473,599189690.1818181,164502.51711924438,56819712,56819712,454557696.0,2367487.9999999995,30941846.517119244,28409856,1024,65536,16384,32768,16,4.0,5.273
16,32,8,2,inceptionv3,conv39/Convolution,194318,110,2376687381.9428573,543543.8811428571,56819712,56819712,2863713484.8,89491046.4,118444446.28114286,28409856,1024,65536,16384,32768,16,4.2,3.486
16,32,8,2,inceptionv3,conv40/Convolution,166585,121,2832244105.846154,636067.5976331362,56819712,56819712,2134444833.3913045,66701401.04347826,95747324.6411114,28409856,1024,65536,16384,32768,16,3.13,4.154
16,32,8,2,inceptionv3,conv41/Convolution,161947,107,1953177600.0,441441.0,47349760,47349760,2318244249.6,72445132.8,96561453.8,23674880,1024,65536,16384,32768,16,4.08,3.438
16,32,8,2,inceptionv3,conv42/Convolution,48453,2213,568197120.0,162977.68421052632,47349760,47349760,336432505.2631579,2102703.1578947366,25940560.842105266,23674880,1024,65536,16384,32768,16,2.842,4.8
16,32,8,2,inceptionv3,conv43/Convolution,2635914,234,27841658880.0,6155170.909090907,284098560,284098560,28955325235.2,904853913.6,1053058364.5090908,142049280,1024,65536,16384,32768,16,4.16,4.0
