N,M,Max Precision (bits),Min Precision (bits),Network,Layer,Cycles,Memory wait cycles,WBUF Read,WBUF Write,OBUF Read,OBUF Write,IBUF Read,IBUF Write,DRAM Read,DRAM Write,Bandwidth (bits/cycle),WBUF Size (bits),OBUF Size (bits),IBUF Size (bits),Batch size,avg_iprec,avg_wprec
16,32,8,2,FC_test,fc1/MatMul,1841,1713,33792.0,1622552.3809523808,262144,262144,50322.28571428571,12.285714285714285,1753636.6666666665,131072,1024,65536,16384,32768,1,4.095,2.75
16,32,8,2,FC_test,fc2/MatMul,60175,55567,58409566.81481481,61342213.815308645,393216,393216,55029268.48,13434.88,61486720.69530865,131072,1024,65536,16384,32768,1,3.28,3.481
16,32,8,2,FC_test,fc3/MatMul,15151,13999,14913080.888888888,15435038.72,98304,98304,14092861.44,13762.56,15481569.28,32768,1024,65536,16384,32768,1,3.36,3.556
16,32,8,2,inceptionv3,conv0/Convolution,46439,24238,56266214.4,13826.275555555554,45467648,45467648,66263930.18181817,2070747.818181818,24818398.09373737,22733824,1024,65536,16384,32768,1,3.455,2.933
16,32,8,2,inceptionv3,conv1/Convolution,65627,800,771700608.0,43449.600000000006,44255232,44255232,732866641.9200001,22902082.56,45073148.16,22127616,1024,65536,16384,32768,1,3.68,3.875
16,32,8,2,inceptionv3,conv2/Convolution,109648,23212,1194891264.0,60233.142857142855,88510464,88510464,1517322240.0,23708160.0,68023625.14285713,44255232,1024,65536,16384,32768,1,3.81,3.0
16,32,8,2,inceptionv3,conv3/Convolution,33243,17256,102589644.8,36288.512,30012928,30012928,100952576.0,1261907.2000000002,17668883.712,16370688,1024,65536,16384,32768,1,3.7,3.76
16,32,8,2,inceptionv3,conv4/Convolution,181569,93,2439037440.0,537868.8,61943808,61943808,2578411008.0,80575344.0,112085116.8,30971904,1024,65536,16384,32768,1,3.7,3.5
16,32,8,2,inceptionv3,conv5/Convolution,5923,1023,66232320.00000001,55774.5852631579,5017600,5017600,63380210.526315786,990315.7894736844,3554890.3747368422,2508800,1024,65536,16384,32768,1,4.211,4.4
16,32,8,2,inceptionv3,conv6/Convolution,5541,641,46346778.94736841,46443.41404595078,4390400,4390400,29220141.17647059,608752.9411764707,3163996.3552224217,2508800,1024,65536,16384,32768,1,2.588,4.105
16,32,8,2,inceptionv3,conv7/Convolution,29550,150,338688000.0,293359.83157894737,15052800,15052800,346610526.31578946,5415789.47368421,13235549.305263158,7526400,1024,65536,16384,32768,1,3.684,3.6
16,32,8,2,inceptionv3,conv8/Convolution,7451,101,58626694.7368421,68999.04075979422,5017600,5017600,66662400.00000001,1041600.0,3619399.0407597935,2508800,1024,65536,16384,32768,1,4.429,3.895
16,32,8,2,inceptionv3,conv9/Convolution,22319,269,258249600.0,228268.4210526316,15052800,15052800,270950400.0,2822400.0,10577068.421052633,7526400,1024,65536,16384,32768,1,4.0,3.812
16,32,8,2,inceptionv3,conv10/Convolution,40607,182,375162092.3076924,331807.1614539308,7526400,7526400,454809600.0,14212800.0,18307807.161453933,3763200,1024,65536,16384,32768,1,4.476,3.692
16,32,8,2,inceptionv3,conv11/Convolution,5036,136,34532894.11764706,33061.20415224913,2508800,2508800,38572800.0,1205400.0,2492861.204152249,1254400,1024,65536,16384,32768,1,5.125,4.588
16,32,8,2,inceptionv3,conv12/Convolution,9915,115,69474461.53846154,72119.28994082841,5017600,5017600,91989333.33333331,1437333.3333333333,4018252.6232741615,2508800,1024,65536,16384,32768,1,4.583,3.462
16,32,8,2,inceptionv3,conv13/Convolution,7451,101,60211200.0,72398.76923076923,4390400,4390400,44000492.307692304,916676.9230769232,3497875.6923076925,2508800,1024,65536,16384,32768,1,2.923,4.0
16,32,8,2,inceptionv3,conv14/Convolution,36918,168,393425454.5454545,321893.5537190082,15052800,15052800,403200000.0,6300000.0,14148293.553719008,7526400,1024,65536,16384,32768,1,4.286,4.182
