N,M,Max Precision (bits),Min Precision (bits),Network,Layer,Cycles,Memory wait cycles,WBUF Read,WBUF Write,OBUF Read,OBUF Write,IBUF Read,IBUF Write,DRAM Read,DRAM Write,Bandwidth (bits/cycle),WBUF Size (bits),OBUF Size (bits),IBUF Size (bits),Batch size
16,32,8,2,FC_test,fc1/MatMul,1622,1494,49152,1398101.3333333333,262144,262144,49152.0,12.0,1529185.3333333333,131072,1024,65536,16384,32768,1
16,32,8,2,FC_test,fc2/MatMul,69905,63761,67108864,71303168.0,655360,655360,69905066.66666666,17066.666666666664,71451306.66666667,131072,1024,65536,16384,32768,1
16,32,8,2,FC_test,fc3/MatMul,33727,29887,33554432,34453211.428571425,294912,294912,17176673.523809522,16774.095238095237,34502753.52380952,32768,1024,65536,16384,32768,1
16,32,8,2,inceptionv3,conv0/Convolution,46999,24798,153453312,8407.57894736842,45467648,45467648,84803146.10526314,2650098.3157894732,25392329.89473684,22733824,1024,65536,16384,32768,1
16,32,8,2,inceptionv3,conv1/Convolution,151341,78,1593188352,76458.66666666667,44255232,44255232,862977024.0,26968032.0,49172106.66666667,22127616,1024,65536,16384,32768,1
16,32,8,2,inceptionv3,conv2/Convolution,259455,147,3186376704,147456.0,88510464,88510464,1383558305.6842103,43236197.05263157,87638885.05263157,44255232,1024,65536,16384,32768,1
16,32,8,2,inceptionv3,conv3/Convolution,33155,1181,218275840,57600.0,30012928,30012928,92085120.0,1151064.0,17579352.0,16370688,1024,65536,16384,32768,1
16,32,8,2,inceptionv3,conv4/Convolution,635355,189,5574942720,1128960.0,61943808,61943808,2787471360.0,87108480.0,119209344.0,30971904,1024,65536,16384,32768,1
16,32,8,2,inceptionv3,conv5/Convolution,19750,150,120422400,106496.0,5017600,5017600,94080000.0,1470000.0,4085296.0,2508800,1024,65536,16384,32768,1
16,32,8,2,inceptionv3,conv6/Convolution,12360,110,90316800,84028.23529411765,4390400,4390400,39845647.058823526,830117.6470588235,3422945.882352941,2508800,1024,65536,16384,32768,1
16,32,8,2,inceptionv3,conv7/Convolution,88272,72,752640000,663552.0,60211200,60211200,376320000.0,5880000.0,36649152.0,30105600,1024,65536,16384,32768,1
16,32,8,2,inceptionv3,conv8/Convolution,14841,141,120422400,110591.99999999997,5017600,5017600,64512000.0,1008000.0,3627392.0,2508800,1024,65536,16384,32768,1
16,32,8,2,inceptionv3,conv9/Convolution,40703,278,541900800,456192.0,7526400,7526400,203212800.0,6350400.0,10569792.0,3763200,1024,65536,16384,32768,1
16,32,8,2,inceptionv3,conv10/Convolution,81260,410,812851200,664576.0,7526400,7526400,423360000.00000006,13230000.000000004,17657776.000000004,3763200,1024,65536,16384,32768,1
16,32,8,2,inceptionv3,conv11/Convolution,5042,142,60211200,49152.0,2508800,2508800,27487721.739130437,858991.3043478262,2162543.304347826,1254400,1024,65536,16384,32768,1
16,32,8,2,inceptionv3,conv12/Convolution,14855,155,160563200,138519.2727272727,10035200,10035200,69334109.09090908,1083345.4545454544,6239464.727272727,5017600,1024,65536,16384,32768,1
16,32,8,2,inceptionv3,conv13/Convolution,19723,123,120422400,102985.14285714287,8780800,8780800,63078400.0,1314133.3333333335,6434718.476190477,5017600,1024,65536,16384,32768,1
16,32,8,2,inceptionv3,conv14/Convolution,73640,140,752640000,678297.6000000001,30105600,30105600,338688000.0,5292000.0,21023097.6,15052800,1024,65536,16384,32768,1
16,32,8,2,inceptionv3,conv15/Convolution,14864,164,160563200,149690.18181818182,10035200,10035200,62035781.81818183,969309.090909091,6136599.272727273,5017600,1024,65536,16384,32768,1
16,32,8,2,inceptionv3,conv16/Convolution,62775,300,541900800,445644.8,7526400,7526400,289013760.0,9031680.0,13240524.8,3763200,1024,65536,16384,32768,1
16,32,8,2,inceptionv3,conv17/Convolution,62857,382,812851200,683659.6363636364,7526400,7526400,304819200.0,9525600.0,13972459.636363637,3763200,1024,65536,16384,32768,1
16,32,8,2,inceptionv3,conv18/Convolution,17320,170,160563200,131553.88235294117,5017600,5017600,85004047.05882353,1328188.2352941178,3968542.1176470593,2508800,1024,65536,16384,32768,1
16,32,8,2,inceptionv3,conv19/Convolution,19797,197,180633600,157771.85185185185,5017600,5017600,88644266.66666667,1385066.6666666667,4051638.5185185187,2508800,1024,65536,16384,32768,1
16,32,8,2,inceptionv3,conv20/Convolution,17308,158,135475200,121434.35294117648,4390400,4390400,59768470.58823529,1245176.4705882352,3875410.8235294116,2508800,1024,65536,16384,32768,1
16,32,8,2,inceptionv3,conv21/Convolution,95787,237,752640000,638976.0,15052800,15052800,430080000.0,13439999.999999996,21605375.999999996,7526400,1024,65536,16384,32768,1
16,32,8,2,inceptionv3,conv22/Convolution,19797,197,180633600,156129.88235294117,5017600,5017600,91644988.23529412,1431952.9411764706,4096882.823529412,2508800,1024,65536,16384,32768,1
16,32,8,2,inceptionv3,conv23/Convolution,51712,262,541900800,466944.0,15052800,15052800,270950399.99999994,8467199.999999998,16460543.999999998,7526400,1024,65536,16384,32768,1
16,32,8,2,inceptionv3,conv24/Convolution,99496,271,812851200,675840.0000000001,22579200,22579200,459110400.00000006,4782400.0,16747840.0,11289600,1024,65536,16384,32768,1
16,32,8,2,inceptionv3,conv25/Convolution,22244,194,180633600,152064.0,5017600,5017600,93139200.0,1455300.0,4116164.0,2508800,1024,65536,16384,32768,1
16,32,8,2,inceptionv3,conv26/Convolution,187354,82,2301198336,8699903.999999998,127844352,127844352,926871552.0,28964736.0,101586816.0,63922176,1024,65536,16384,32768,1
16,32,8,2,inceptionv3,conv27/Convolution,17350,200,180633600,165660.44444444444,5017600,5017600,77772800.0,1215199.9999999998,3889660.444444444,2508800,1024,65536,16384,32768,1
16,32,8,2,inceptionv3,conv28/Convolution,58939,139,541900800,463433.14285714284,30105600,30105600,261273599.99999997,2721599.9999999995,18237833.14285714,15052800,1024,65536,16384,32768,1
16,32,8,2,inceptionv3,conv29/Convolution,8866,196,95883264,355474.2857142857,1775616,1775616,77049051.42857143,2407782.8571428573,3651065.1428571427,887808,1024,65536,16384,32768,1
16,32,8,2,inceptionv3,conv30/Convolution,45374,290,340918272,1198080.0,3551232,3551232,202420224.0,6325632.0,9299328.0,1775616,1024,65536,16384,32768,1
16,32,8,2,inceptionv3,conv31/Convolution,22249,285,227278848,797696.0,2367488,2367488,124293120.0,3884160.0,5865600.0,1183744,1024,65536,16384,32768,1
16,32,8,2,inceptionv3,conv32/Convolution,2543,231,18939904,106014.11764705883,2367488,2367488,15597568.0,121856.0,1411614.1176470588,1183744,1024,65536,16384,32768,1
16,32,8,2,inceptionv3,conv33/Convolution,146001,345,1392082944,5023334.399999999,14204928,14204928,1415284326.3999999,44227635.199999996,56353433.599999994,7102464,1024,65536,16384,32768,1
16,32,8,2,inceptionv3,conv34/Convolution,22240,276,227278848,802816.0,2367488,2367488,101677379.36842105,3177418.1052631577,5163978.105263158,1183744,1024,65536,16384,32768,1
16,32,8,2,inceptionv3,conv35/Convolution,166623,159,1856110592,6667575.652173913,37879808,37879808,827179720.347826,25849366.260869563,51456845.91304348,18939904,1024,65536,16384,32768,1
