N,M,Max Precision (bits),Min Precision (bits),Network,Layer,Cycles,Memory wait cycles,WBUF Read,WBUF Write,OBUF Read,OBUF Write,IBUF Read,IBUF Write,DRAM Read,DRAM Write,Bandwidth (bits/cycle),WBUF Size (bits),OBUF Size (bits),IBUF Size (bits),Batch size
16,32,8,2,AlexNet,conv1_a/Convolution,3339656,56,13493145600,282624,297369600,297369600,13493145600,421660800,570628224,148684800,1920,65536,16384,32768,64
16,32,8,2,AlexNet,conv1_b/Convolution,3339656,56,13493145600,282624,297369600,297369600,13493145600,421660800,570628224,148684800,1920,65536,16384,32768,64
16,32,8,2,AlexNet,conv2_a/Convolution,4665726,126,38220595200,3276800,382205952,382205952,38220595200,1194393600,1388773376,191102976,1920,65536,16384,32768,64
16,32,8,2,AlexNet,conv2_b/Convolution,4665726,126,38220595200,3276800,382205952,382205952,38220595200,1194393600,1388773376,191102976,1920,65536,16384,32768,64
16,32,8,2,AlexNet,conv3_a/Convolution,2336314,58,19138609152,7077888,531628032,531628032,19138609152,598081536,870973440,265814016,1920,65536,16384,32768,64
16,32,8,2,AlexNet,conv3_b/Convolution,2336314,58,19138609152,7077888,531628032,531628032,19138609152,598081536,870973440,265814016,1920,65536,16384,32768,64
16,32,8,2,AlexNet,conv4_a/Convolution,1752250,58,14353956864,5308416,398721024,398721024,14353956864,448561152,653230080,199360512,1920,65536,16384,32768,64
16,32,8,2,AlexNet,conv4_b/Convolution,1752250,58,14353956864,5308416,398721024,398721024,14353956864,448561152,653230080,199360512,1920,65536,16384,32768,64
16,32,8,2,AlexNet,conv5_a/Convolution,1168186,58,9569304576,3538944,265814016,265814016,9569304576,299040768,435486720,132907008,1920,65536,16384,32768,64
16,32,8,2,AlexNet,conv5_b/Convolution,1168186,58,9569304576,3538944,265814016,265814016,9569304576,299040768,435486720,132907008,1920,65536,16384,32768,64
16,32,8,2,AlexNet,fc1/MatMul,1179663,15,9663676416,1207959552,1212153856,1212153856,9663676416,301989888,1514143744,4194304,1920,65536,16384,32768,64
16,32,8,2,AlexNet,fc2/MatMul,524303,15,4294967296,536870912,541065216,541065216,4294967296,134217728,675282944,4194304,1920,65536,16384,32768,64
16,32,8,2,AlexNet,fc3/MatMul,262152,8,1073741824,268435456,268959744,268959744,1073741824,33554432,302514176,524288,1920,65536,16384,32768,64
16,32,8,2,SVHN,conv0/Convolution,36799,4031,28311552,4096,67108864,67108864,226492416,3538944,37097472,33554432,1920,65536,16384,32768,64
16,32,8,2,SVHN,conv1/Convolution,294950,38,603979776,49152,67108864,67108864,603979776,18874368,52477952,33554432,1920,65536,16384,32768,64
16,32,8,2,SVHN,conv2/Convolution,147527,71,301989888,98304,33554432,33554432,301989888,2359296,19234816,16777216,1920,65536,16384,32768,64
16,32,8,2,SVHN,conv3/Convolution,147556,100,603979776,163840,33554432,33554432,603979776,18874368,35815424,16777216,1920,65536,16384,32768,64
16,32,8,2,SVHN,conv4/Convolution,73764,36,301989888,327680,16777216,16777216,301989888,9437184,18153472,8388608,1920,65536,16384,32768,64
16,32,8,2,SVHN,conv5/Convolution,73786,58,603979776,589824,16777216,16777216,603979776,18874368,27852800,8388608,1920,65536,16384,32768,64
16,32,8,2,SVHN,fc6/MatMul,8253,61,67108864,8388608,4194304,4194304,67108864,65536,10551296,2097152,1920,65536,16384,32768,64
16,32,8,2,SVHN,fc7/MatMul,2083,35,16777216,2097152,1048576,1048576,16777216,16384,2637824,524288,1920,65536,16384,32768,64
16,32,8,2,SVHN,fc8/MatMul,96,32,163840,10240,21504,21504,163840,16384,43008,16384,1920,65536,16384,32768,64
16,32,8,2,CIFAR10,conv0/Convolution,131098,26,452984832,32768,134217728,134217728,452984832,3538944,70680576,67108864,1920,65536,16384,32768,64
16,32,8,2,CIFAR10,conv1/Convolution,589877,53,4831838208,327680,134217728,134217728,4831838208,150994944,218431488,67108864,1920,65536,16384,32768,64
16,32,8,2,CIFAR10,conv2/Convolution,294974,62,2415919104,655360,67108864,67108864,2415919104,75497472,109707264,33554432,1920,65536,16384,32768,64
16,32,8,2,CIFAR10,conv3/Convolution,295016,104,4831838208,1179648,67108864,67108864,4831838208,37748736,72482816,33554432,1920,65536,16384,32768,64
16,32,8,2,CIFAR10,conv4/Convolution,147560,104,2415919104,2359296,33554432,33554432,2415919104,18874368,38010880,16777216,1920,65536,16384,32768,64
16,32,8,2,CIFAR10,conv5/Convolution,295016,104,4831838208,4718592,67108864,67108864,4831838208,37748736,76021760,33554432,1920,65536,16384,32768,64
