N,M,Max Precision (bits),Min Precision (bits),Network,Layer,Cycles,Memory wait cycles,WBUF Read,WBUF Write,OBUF Read,OBUF Write,IBUF Read,IBUF Write,DRAM Read,DRAM Write,Bandwidth (bits/cycle),WBUF Size (bits),OBUF Size (bits),IBUF Size (bits),Batch size
2,2,8,2,FC_test,fc1/MatMul,4683,2635,49152,65536,262144,262144,98304,24,196632,131072,70,65536,16384,32768,1
2,2,8,2,FC_test,fc2/MatMul,1048842,266,67108864,67108864,4194304,4194304,67108864,16384,69222400,2097152,70,65536,16384,32768,1
2,2,8,2,FC_test,fc3/MatMul,1025398,1398,32768000,32768000,2080000,2080000,32768000,32768,32832768,32000,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv0/Convolution,4973602,578,153453312,7168,45467648,45467648,153453312,4795416,27536408,22733824,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv1/Convolution,49788222,1086,1593188352,73728,88510464,88510464,1593188352,99574272,143903232,44255232,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv2/Convolution,99576411,2139,3186376704,147456,177020928,177020928,3186376704,199148544,287806464,88510464,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv3/Convolution,6821813,693,218275840,40960,436551680,436551680,218275840,2728448,221045248,218275840,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv4/Convolution,174217234,274,5574942720,5574942720,1269848064,1269848064,5574942720,87108480,5693023104,30971904,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv5/Convolution,3764728,1528,120422400,98304,60211200,60211200,120422400,1881600,32085504,30105600,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv6/Convolution,2823582,1182,90316800,73728,45158400,45158400,90316800,45158400,67811328,22579200,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv7/Convolution,23520380,380,752640000,752640000,62720000,62720000,752640000,11760000,766908800,2508800,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv8/Convolution,3764728,1528,120422400,98304,60211200,60211200,120422400,1881600,32085504,30105600,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv9/Convolution,16934662,262,541900800,442368,7526400,7526400,541900800,270950400,275155968,3763200,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv10/Convolution,25401934,334,812851200,663552,361267200,361267200,812851200,8467200,189764352,180633600,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv11/Convolution,1882431,831,60211200,49152,30105600,30105600,60211200,30105600,45207552,15052800,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv12/Convolution,5019596,1996,160563200,131072,80281600,80281600,160563200,2508800,42780672,40140800,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv13/Convolution,3764733,1533,120422400,98304,60211200,60211200,120422400,60211200,90415104,30105600,70,65536,16384,32768,1
