N,M,Max Precision (bits),Min Precision (bits),Network,Layer,Cycles,Memory wait cycles,WBUF Read,WBUF Write,OBUF Read,OBUF Write,IBUF Read,IBUF Write,DRAM Read,DRAM Write,Bandwidth (bits/cycle),WBUF Size (bits),OBUF Size (bits),IBUF Size (bits),Batch size,avg_iprec,avg_wprec
16,32,8,2,inceptionv3,conv0/Convolution,746280,380033,1622220726.857143,11766.459627329192,727482368,727482368,1174251430.9565217,36695357.217391305,400448307.67701864,363741184,1024,65536,16384,32768,16,3.826,5.286
16,32,8,2,inceptionv3,conv1/Convolution,1493029,45,11046105907.199999,42065.91999999999,708083712,708083712,12166165597.090908,380192674.9090909,734276596.8290908,354041856,1024,65536,16384,32768,16,3.818,3.467
16,32,8,2,inceptionv3,conv2/Convolution,2982981,90,24641313177.6,88505.72549019607,1416167424,1416167424,21742335156.705883,679447973.647059,1387620191.372549,708083712,1024,65536,16384,32768,16,3.412,3.867
16,32,8,2,inceptionv3,conv3/Convolution,532045,245248,1309655040.0,33512.72727272727,480206848,480206848,1673448106.6666665,20918101.333333332,282882622.06060606,261931008,1024,65536,16384,32768,16,3.833,3.0
16,32,8,2,inceptionv3,conv4/Convolution,5301405,104,43585915810.90909,604406.1908339594,991100928,991100928,42572289861.818184,1330384058.181818,1826538928.372652,495550464,1024,65536,16384,32768,16,3.818,3.909
16,32,8,2,inceptionv3,conv5/Convolution,88279,9363,861970863.1578946,80176.45798707294,80281600,80281600,642252800.0,10035200.0,50256176.45798707,40140800,1024,65536,16384,32768,16,2.667,3.579
16,32,8,2,inceptionv3,conv6/Convolution,140158,80,816196266.6666667,49726.55598126863,70246400,70246400,734991889.6551723,15312331.034482757,55502857.590464026,40140800,1024,65536,16384,32768,16,4.069,4.519
16,32,8,2,inceptionv3,conv7/Convolution,665435,161,5709682758.620689,301697.80948606157,80281600,80281600,5602986666.666667,175093333.33333334,215535831.1428194,40140800,1024,65536,16384,32768,16,3.722,3.793
16,32,8,2,inceptionv3,conv8/Convolution,111873,82,816196266.6666667,60246.91358024692,80281600,80281600,1003520000.0000001,31360000.0,71561046.91358024,40140800,1024,65536,16384,32768,16,4.167,3.389
16,32,8,2,inceptionv3,conv9/Convolution,550322,238,4231987200.0,233994.15873015873,120422400,120422400,4515840000.0,141120000.0,201565194.15873015,60211200,1024,65536,16384,32768,16,4.167,3.905
16,32,8,2,inceptionv3,conv10/Convolution,729251,131,7153090560.000001,371712.00000000006,120422400,120422400,5283532800.0,165110400.0,225693312.0,60211200,1024,65536,16384,32768,16,3.25,4.4
16,32,8,2,inceptionv3,conv11/Convolution,53631,6918,341196799.99999994,24187.448888888885,40140800,40140800,472055808.0,14751743.999999998,34846331.44888888,20070400,1024,65536,16384,32768,16,3.92,2.833
16,32,8,2,inceptionv3,conv12/Convolution,128020,104,1244364800.0,83014.73684210527,80281600,80281600,1081688926.3157895,33802778.94736842,74026593.68421052,40140800,1024,65536,16384,32768,16,3.368,3.875
16,32,8,2,inceptionv3,conv13/Convolution,195501,84,1146879999.9999998,65153.741496598625,70246400,70246400,1008537600.0,21011200.0,61217153.7414966,40140800,1024,65536,16384,32768,16,4.188,4.762
16,32,8,2,inceptionv3,conv14/Convolution,650732,149,5070416842.105263,277194.5442553753,80281600,80281600,6164479999.999999,192639999.99999997,233057994.54425535,40140800,1024,65536,16384,32768,16,4.095,3.368
16,32,8,2,inceptionv3,conv15/Convolution,121398,98,1111591384.6153846,76110.08068854224,80281600,80281600,1148270157.5757577,35883442.42424243,76100352.50493097,40140800,1024,65536,16384,32768,16,3.576,3.462
16,32,8,2,inceptionv3,conv16/Convolution,552034,202,3536615747.368421,196778.72576177283,120422400,120422400,5419008000.0,169344000.0,229751978.72576177,60211200,1024,65536,16384,32768,16,5.0,3.263
16,32,8,2,inceptionv3,conv17/Convolution,1147082,136,6885327811.764706,376089.3342560553,120422400,120422400,8778792960.0,274337280.0,334924569.33425605,60211200,1024,65536,16384,32768,16,5.4,4.235
16,32,8,2,inceptionv3,conv18/Convolution,125507,67,1027604480.0,56290.74285714285,80281600,80281600,1284505600.0,40140800.0,80337890.74285714,40140800,1024,65536,16384,32768,16,4.0,3.2
16,32,8,2,inceptionv3,conv19/Convolution,185961,94,1410662400.0,82961.5808228053,80281600,80281600,1376256000.0,43008000.0,83231761.5808228,40140800,1024,65536,16384,32768,16,3.81,3.905
16,32,8,2,inceptionv3,conv20/Convolution,118168,82,782745600.0000001,51714.10699588478,70246400,70246400,752640000.0,15680000.0,55872514.10699588,40140800,1024,65536,16384,32768,16,2.778,2.889
