N,M,Max Precision (bits),Min Precision (bits),Network,Layer,Cycles,Memory wait cycles,WBUF Read,WBUF Write,OBUF Read,OBUF Write,IBUF Read,IBUF Write,DRAM Read,DRAM Write,Bandwidth (bits/cycle),WBUF Size (bits),OBUF Size (bits),IBUF Size (bits),Batch size,avg_iprec,avg_wprec
16,32,8,2,AlexNet,conv1_a/Convolution,2226494,94,3710615040.0000005,85245.95200000002,173465600,173465600,2811071999.9999995,58564000.0,157772445.952,99123200,1024,65536,16384,32768,16,3.333,4.4
16,32,8,2,AlexNet,conv1_b/Convolution,2226481,81,3048931938.4615383,70923.8343195266,173465600,173465600,3267871200.0,68080650.0,167274773.83431953,99123200,1024,65536,16384,32768,16,3.875,3.615
16,32,8,2,AlexNet,conv2_a/Convolution,3499338,138,7278336000.0,700700.0,286654464,286654464,8161689600.0,127526400.0,271554332.0,143327232,1024,65536,16384,32768,16,4.556,4.062
16,32,8,2,AlexNet,conv2_b/Convolution,3499319,119,6104678400.0,592469.9312645979,286654464,286654464,6972676151.351352,108948064.86486487,252867766.79612947,143327232,1024,65536,16384,32768,16,3.892,3.407
16,32,8,2,AlexNet,conv3_a/Convolution,2336339,83,4261330944.0,2248278.2608695654,265814016,265814016,3432467945.739131,107264623.30434783,242419909.56521738,132907008,1024,65536,16384,32768,16,2.87,3.562
16,32,8,2,AlexNet,conv3_b/Convolution,2336320,64,5545846970.181819,387674564.3756574,282427392,282427392,4349683898.181819,135927621.81818184,540215562.1938392,16613376,1024,65536,16384,32768,16,3.636,4.636
16,32,8,2,AlexNet,conv4_a/Convolution,1752251,59,3522035711.9999995,1822467.1604938272,398721024,398721024,3947338137.6000004,123354316.80000001,324537295.9604938,199360512,1024,65536,16384,32768,16,4.4,3.926
16,32,8,2,AlexNet,conv4_b/Convolution,1752285,93,3438968831.9999995,203790745.59999996,215973888,215973888,3319352524.8,103729766.4,324133888.0,16613376,1024,65536,16384,32768,16,3.7,3.833
16,32,8,2,AlexNet,conv5_a/Convolution,1168213,85,2312581939.2,845002451.6266667,143982592,143982592,2429706240.0,18982080.0,875060115.6266667,11075584,1024,65536,16384,32768,16,4.062,3.867
16,32,8,2,AlexNet,conv5_b/Convolution,1168212,84,2351079141.5172415,738934715.8145066,143982592,143982592,2616606720.0,20442240.0,770452539.8145066,11075584,1024,65536,16384,32768,16,4.375,3.931
16,32,8,2,AlexNet,fc1/MatMul,154704,80976,2147483648.0,139040164.4830918,39845888,39845888,1943239279.304348,15181556.869565219,156318873.35265702,2097152,1024,65536,16384,32768,16,3.217,3.556
16,32,8,2,AlexNet,fc2/MatMul,95951,63183,1185589930.6666667,81249874.17283951,16777216,16777216,924611015.111111,225735.1111111111,89864217.28395061,8388608,1024,65536,16384,32768,16,3.444,4.417
16,32,8,2,AlexNet,fc3/MatMul,16859,8667,232299913.84615386,14922043.076923076,2097152,2097152,248551348.14814812,242725.9259259259,16213345.002849001,1048576,1024,65536,16384,32768,16,3.704,3.462
