N,M,Max Precision (bits),Min Precision (bits),Network,Layer,Cycles,Memory wait cycles,WBUF Read,WBUF Write,OBUF Read,OBUF Write,IBUF Read,IBUF Write,DRAM Read,DRAM Write,Bandwidth (bits/cycle),WBUF Size (bits),OBUF Size (bits),IBUF Size (bits),Batch size,avg_iprec,avg_wprec
16,32,8,2,AlexNet,conv1_a/Convolution,11712873,73,2614296959.9999995,63577.56342857142,173465600,173465600,3035957759.9999995,63249120.0,162435897.56342858,99123200,1024,65536,16384,32768,16,3.6,3.1
16,32,8,2,AlexNet,conv1_b/Convolution,11712895,95,3435754666.666667,84827.65432098767,173465600,173465600,3833279999.9999995,79859999.99999999,179068027.65432096,99123200,1024,65536,16384,32768,16,4.545,4.074
16,32,8,2,AlexNet,conv2_a/Convolution,1399829,149,5630712685.714286,493470.4761904761,95551488,95551488,7464960000.000001,233280000.0,281549214.47619045,47775744,1024,65536,16384,32768,16,4.167,3.143
16,32,8,2,AlexNet,conv2_b/Convolution,1166529,129,4903300042.105264,436235.34626038786,95551488,95551488,5374771199.999999,167961599.99999997,216173579.34626037,47775744,1024,65536,16384,32768,16,3.0,2.737
16,32,8,2,AlexNet,conv3_a/Convolution,519376,208,5316280320.0,1972148.148148148,66453504,66453504,4086890496.0000005,127715328.00000003,162914228.14814818,33226752,1024,65536,16384,32768,16,3.417,4.444
16,32,8,2,AlexNet,conv3_b/Convolution,681633,225,5382733824.0,2077206.2608695652,66453504,66453504,5304723188.869565,165772599.65217394,201076557.9130435,33226752,1024,65536,16384,32768,16,4.435,4.5
16,32,8,2,AlexNet,conv4_a/Convolution,308539,283,3588489216.0,1369510.4895104894,33226752,33226752,2898395136.0,90574848.0,108557734.48951049,16613376,1024,65536,16384,32768,16,3.231,4.0
16,32,8,2,AlexNet,conv4_b/Convolution,276058,250,3031654682.4827585,1162412.6554102257,33226752,33226752,2922055504.457143,91314234.51428571,109090023.16969594,16613376,1024,65536,16384,32768,16,3.257,3.379
16,32,8,2,AlexNet,conv5_a/Convolution,259854,270,2254307328.0,841135.8169625247,22151168,22151168,2113221427.2,66038169.599999994,77954889.41696252,11075584,1024,65536,16384,32768,16,3.533,3.769
16,32,8,2,AlexNet,conv5_b/Convolution,313914,250,2283584046.5454545,855317.1570247933,22151168,22151168,2990407680.0,93450240.0,105381141.1570248,11075584,1024,65536,16384,32768,16,5.0,3.818
16,32,8,2,AlexNet,fc1/MatMul,202064,128336,2499226659.3103447,168720522.8061831,37748736,37748736,1811939328.0,442368.0,188037258.8061831,18874368,1024,65536,16384,32768,16,3.0,4.138
16,32,8,2,AlexNet,fc2/MatMul,68406,35638,959860115.3939395,61395273.3779352,8388608,8388608,1073741823.9999999,262143.99999999997,65851721.3779352,4194304,1024,65536,16384,32768,16,4.0,3.576
16,32,8,2,AlexNet,fc3/MatMul,15474,7282,205274172.2352941,13500466.392925797,2097152,2097152,253522375.1111111,247580.44444444444,14796622.837370241,1048576,1024,65536,16384,32768,16,3.778,3.059
