N,M,Max Precision (bits),Min Precision (bits),Network,Layer,Cycles,Memory wait cycles,WBUF Read,WBUF Write,OBUF Read,OBUF Write,IBUF Read,IBUF Write,DRAM Read,DRAM Write,Bandwidth (bits/cycle),WBUF Size (bits),OBUF Size (bits),IBUF Size (bits),Batch size,avg_iprec,avg_wprec
16,32,8,2,AlexNet,conv1_a/Convolution,712186,314,4358662589.217391,92662.80529300569,205520896,205520896,4881321984.0,76270656.0,179123766.80529302,102760448,1024,65536,16384,32768,16,4.188,3.739
16,32,8,2,AlexNet,conv1_b/Convolution,649448,296,3846773145.6,84469.09935483869,411041792,411041792,4361932403.612904,136310387.61290324,239155304.71225807,102760448,1024,65536,16384,32768,16,3.742,3.3
16,32,8,2,AlexNet,conv2_a/Convolution,941163,363,7431782399.999999,620669.3877551019,205520896,205520896,6422528000.0,200704000.00000003,252704893.38775513,51380224,1024,65536,16384,32768,16,3.333,3.857
16,32,8,2,AlexNet,conv2_b/Convolution,959976,360,7262397046.153846,584917.6516593773,205520896,205520896,6869312556.521739,214666017.39130434,266631159.0429637,51380224,1024,65536,16384,32768,16,3.565,3.769
16,32,8,2,AlexNet,conv3_a/Convolution,729304,184,5422949096.727273,103848562.2479339,327548928,327548928,5284823040.0,165150720.0,288266866.24793386,19267584,1024,65536,16384,32768,16,3.81,3.909
16,32,8,2,AlexNet,conv3_b/Convolution,432937,169,4161798144.0,87426662.4,327548928,327548928,3514407321.6,109825228.79999998,216519475.2,19267584,1024,65536,16384,32768,16,2.533,3.0
16,32,8,2,AlexNet,conv4_a/Convolution,621121,193,3659512161.1034484,93946654.74435195,250478592,250478592,4406609799.529412,137706556.2352941,250920794.97964606,19267584,1024,65536,16384,32768,16,4.235,3.517
16,32,8,2,AlexNet,conv4_b/Convolution,529516,208,3425376069.818182,335725779.570248,215973888,215973888,2971717632.0,46433088.0,398772243.570248,16613376,1024,65536,16384,32768,16,3.312,3.818
16,32,8,2,AlexNet,conv5_a/Convolution,470589,189,3104833536.0,53781130.15873016,166985728,166985728,2906652672.0,90832896.0,157459082.15873015,12845056,1024,65536,16384,32768,16,4.19,4.476
16,32,8,2,AlexNet,conv5_b/Convolution,413867,155,2472070348.7999997,212004500.53885055,143982592,143982592,2144844129.1034484,67026379.034482755,290106463.5733333,11075584,1024,65536,16384,32768,16,3.586,4.133
16,32,8,2,AlexNet,fc1/MatMul,142752,60832,1907304555.7894735,124549261.82825483,20971520,20971520,2684354560.0,655360.0,135690381.82825482,10485760,1024,65536,16384,32768,16,4.0,2.842
16,32,8,2,AlexNet,fc2/MatMul,77045,44277,932460005.0526316,61825319.00277008,16777216,16777216,1193046471.1111112,291271.1111111111,70505198.1138812,8388608,1024,65536,16384,32768,16,4.444,3.474
16,32,8,2,AlexNet,fc3/MatMul,16626,8434,233922325.94285715,14676513.62671614,2097152,2097152,256233844.36363637,250228.36363636365,15975317.990352504,1048576,1024,65536,16384,32768,16,3.818,3.486
16,32,8,2,inceptionv3,conv0/Convolution,740248,429434,1483382016.0,14660.52525252525,727482368,727482368,976521076.3636363,30516283.636363637,394272128.16161615,363741184,1024,65536,16384,32768,16,3.182,4.833
16,32,8,2,inceptionv3,conv1/Convolution,1599225,233,12085988451.096775,45068.130953333864,717750272,717750272,10931888758.153847,341621523.6923078,700541727.823261,358875136,1024,65536,16384,32768,16,3.385,3.742
16,32,8,2,inceptionv3,conv2/Convolution,11064043,235,21242511360.0,474355.80952380947,12037423104,12037423104,22941912268.8,716934758.4,1425492826.2095237,708083712,1024,65536,16384,32768,16,3.6,3.333
