,Metric,Network,Value
0,Performance,AlexNet,1.866017622931746
1,Energy reduction,AlexNet,1.5563346491925683
2,Performance-per-Watt,AlexNet,1.5563346491925683
3,Performance-per-Area,AlexNet,5.117245250600567
4,Performance,SVHN,8.574247280692633
5,Energy reduction,SVHN,10.572740856922477
6,Performance-per-Watt,SVHN,10.572740856922477
7,Performance-per-Area,SVHN,23.513457555488525
8,Performance,CIFAR10,13.405532494723266
9,Energy reduction,CIFAR10,14.771605265661712
10,Performance-per-Watt,CIFAR10,14.771605265661712
11,Performance-per-Area,CIFAR10,36.76245960775869
12,Performance,LeNet-5,2.7237493663976293
13,Energy reduction,LeNet-5,4.297886653474925
14,Performance-per-Watt,LeNet-5,4.297886653474925
15,Performance-per-Area,LeNet-5,7.46943294518628
16,Performance,VGG-7,7.661975184331855
17,Energy reduction,VGG-7,9.865752277673494
18,Performance-per-Watt,VGG-7,9.865752277673494
19,Performance-per-Area,VGG-7,21.01170194772363
20,Performance,RESNET-18,1.9455172579321647
21,Energy reduction,RESNET-18,1.8526321233291343
22,Performance-per-Watt,RESNET-18,1.852632123329134
23,Performance-per-Area,RESNET-18,5.335259874166237
24,Performance,RNN,2.657428221692267
25,Energy reduction,RNN,5.143131498278208
26,Performance-per-Watt,RNN,5.1431314982782075
27,Performance-per-Area,RNN,7.287558155480544
28,Performance,LSTM,2.4343441832876103
29,Energy reduction,LSTM,4.78270717627669
30,Performance-per-Watt,LSTM,4.782707176276691
31,Performance-per-Area,LSTM,6.675787011423786
